epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0472,0.76714,0.94054,0.92398,0.97042,0.94037,0.97144,0.78509,0.70834,0.80062,0.90925,8.888e-05,8.888e-05,8.888e-05
2,18.5338,0.7316,0.85697,0.92662,0.92736,0.92548,0.96079,0.77174,0.72142,0.88104,0.92679,0.000187,0.000187,0.000187
3,23.2391,0.77628,0.87168,0.9304,0.93627,0.94533,0.97309,0.77315,0.71476,0.84184,0.9237,0.000283141,0.000283141,0.000283141
